21058,9_11_13_18_19_28,14
21059,1_9_11_18_32_33,14
21060,10_11_17_20_29_30,15
21061,4_9_12_18_20_23,1
21062,12_13_15_20_22_25,10
21063,4_5_6_9_23_24,9
21064,4_6_8_15_16_18,16
21065,1_4_8_19_29_33,16
21066,2_6_19_26_30_33,15
21067,1_11_19_23_25_29,9
21068,4_14_18_24_31_32,15
21069,6_11_18_20_23_26,5
21070,1_5_11_15_16_29,15
21071,1_7_24_31_32_33,8
21072,1_9_15_16_19_21,15
21073,1_6_18_22_24_25,8
21074,4_5_9_14_25_27,7
21075,12_15_16_21_22_29,1
21076,3_9_21_23_30_32,6
21077,8_15_17_25_27_30,10
21078,4_6_15_26_27_31,12
21079,1_3_10_24_28_29,13
21080,5_8_22_23_24_29,9
21081,1_3_5_18_22_23,1
21082,3_6_11_13_26_32,5
21083,4_9_11_25_28_33,4
21084,5_7_9_11_21_28,1
21085,5_6_7_11_14_20,2
21086,6_8_10_14_28_29,1
21087,2_13_16_19_23_24,4
21058,9_11_13_18_19_28,14
21059,1_9_11_18_32_33,14
21060,10_11_17_20_29_30,15
21061,4_9_12_18_20_23,1
21062,12_13_15_20_22_25,10
21063,4_5_6_9_23_24,9
21064,4_6_8_15_16_18,16
21065,1_4_8_19_29_33,16
21066,2_6_19_26_30_33,15
21067,1_11_19_23_25_29,9
21068,4_14_18_24_31_32,15
21069,6_11_18_20_23_26,5
21070,1_5_11_15_16_29,15
21071,1_7_24_31_32_33,8
21072,1_9_15_16_19_21,15
21073,1_6_18_22_24_25,8
21074,4_5_9_14_25_27,7
21075,12_15_16_21_22_29,1
21076,3_9_21_23_30_32,6
21077,8_15_17_25_27_30,10
21078,4_6_15_26_27_31,12
21079,1_3_10_24_28_29,13
21080,5_8_22_23_24_29,9
21081,1_3_5_18_22_23,1
21082,3_6_11_13_26_32,5
21083,4_9_11_25_28_33,4
21084,5_7_9_11_21_28,1
21085,5_6_7_11_14_20,2
21086,6_8_10_14_28_29,1
21087,2_13_16_19_23_24,4
21058,9_11_13_18_19_28,14
21059,1_9_11_18_32_33,14
21060,10_11_17_20_29_30,15
21061,4_9_12_18_20_23,1
21062,12_13_15_20_22_25,10
21063,4_5_6_9_23_24,9
21064,4_6_8_15_16_18,16
21065,1_4_8_19_29_33,16
21066,2_6_19_26_30_33,15
21067,1_11_19_23_25_29,9
21068,4_14_18_24_31_32,15
21069,6_11_18_20_23_26,5
21070,1_5_11_15_16_29,15
21071,1_7_24_31_32_33,8
21072,1_9_15_16_19_21,15
21073,1_6_18_22_24_25,8
21074,4_5_9_14_25_27,7
21075,12_15_16_21_22_29,1
21076,3_9_21_23_30_32,6
21077,8_15_17_25_27_30,10
21078,4_6_15_26_27_31,12
21079,1_3_10_24_28_29,13
21080,5_8_22_23_24_29,9
21081,1_3_5_18_22_23,1
21082,3_6_11_13_26_32,5
21083,4_9_11_25_28_33,4
21084,5_7_9_11_21_28,1
21085,5_6_7_11_14_20,2
21086,6_8_10_14_28_29,1
21087,2_13_16_19_23_24,4
21058,9_11_13_18_19_28,14
21059,1_9_11_18_32_33,14
21060,10_11_17_20_29_30,15
21061,4_9_12_18_20_23,1
21062,12_13_15_20_22_25,10
21063,4_5_6_9_23_24,9
21064,4_6_8_15_16_18,16
21065,1_4_8_19_29_33,16
21066,2_6_19_26_30_33,15
21067,1_11_19_23_25_29,9
21068,4_14_18_24_31_32,15
21069,6_11_18_20_23_26,5
21070,1_5_11_15_16_29,15
21071,1_7_24_31_32_33,8
21072,1_9_15_16_19_21,15
21073,1_6_18_22_24_25,8
21074,4_5_9_14_25_27,7
21075,12_15_16_21_22_29,1
21076,3_9_21_23_30_32,6
21077,8_15_17_25_27_30,10
21078,4_6_15_26_27_31,12
21079,1_3_10_24_28_29,13
21080,5_8_22_23_24_29,9
21081,1_3_5_18_22_23,1
21082,3_6_11_13_26_32,5
21083,4_9_11_25_28_33,4
21084,5_7_9_11_21_28,1
21085,5_6_7_11_14_20,2
21086,6_8_10_14_28_29,1
21087,2_13_16_19_23_24,4
